ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037104703,2397,Pacoima,-118.4005905,34.2552325,62.25,97,95-100% (highest scores),0.055,11.63,23.14,618.05,0,900.78,733.44,27.25,52,2.08,4,16.2,65.87,73.67,5.3,7.69,53.8,25.7,75.1,12.7,22.5,73.98,19.5,76.2,4.3,94.5,2.9,1.8,0,0.3,0.6,10,20,135814,67,NeWest Residents
06037104704,4219,Pacoima,-118.4088637,34.2625316,49.25,88,85-90%,0.055,11.21,18.3,618.05,0,770.29,739.27,11.45,16,0.5,0,4,54.52,73.79,4.98,7.7,37.4,12.7,61.4,13.1,33.2,70.72,18.1,75.8,6.1,76.7,5.5,13.1,0.2,3.7,0.7,9,18,286510,144,Las Casas
06037104810,5328,Pacoima,-118.4111792,34.2502996,51.15,90,85-90%,0.055,11.21,23.31,618.05,0,853.06,650.64,15.4,34,0.54,4,11.5,62.52,73.79,4.83,7.7,41.8,17.7,43,7.8,25.6,64.04,16.5,76,7.5,93.8,3,0.5,0.1,2.3,0.4,9,18,260242,147,Urban Villages
06037104821,3514,Pacoima,-118.4162955,34.2465705,48.63,87,85-90%,0.055,11.21,23.05,618.05,0,863.24,717.58,12,12.5,0.21,4,0.9,54.8,73.79,4.43,7.7,45,20.1,66.1,12.1,28.2,69.48,17.1,76.7,6.2,93,3.4,1.1,0.2,1.8,0.5,9,18,172419,110,Las Casas
06037104822,2277,Pacoima,-118.4209236,34.2458338,55.92,94,90-95%,0.055,11.21,21.01,618.05,0,778.18,3325.07,12,5,0.2,4,0.2,56.02,73.79,5.31,7.7,55.9,24.4,61.3,20.2,44.5,78.14,17.1,73,9.9,87.7,3.3,1.1,0,7.1,0.7,10,19,106934,72,Las Casas
06037106010,3152,Sylmar,-118.4434108,34.3253362,30.86,61,60-65%,0.06,11.21,10.74,618.05,0,464.18,1186,0,0,0.1,0,0,38.74,64.44,6.51,8.17,22.7,5.4,39.4,7.4,23.7,62.35,13.5,76.4,10.1,67.1,19.7,5.2,0.3,5.8,1.9,7,13,341237,108,Pleasantville
06037106020,5557,Sylmar,-118.429739,34.3230145,26.25,52,50-55%,0.06,11.21,10.7,614.89,0,492.51,1420.66,0.5,0,0.05,0,0,38.4,64.44,3.64,8.17,35.3,7.6,42.7,9.6,16.7,53.51,14.1,77.4,8.5,76.3,16.2,2.3,0.2,3.4,1.5,6,11,417009,150,Urban Villages
06037106111,4334,Sylmar,-118.407505,34.3213672,23.81,47,45-50%,0.057,10.79,3.48,658.23,0,491.58,,2,0,0.1,0,0.4,35.62,64.44,5.28,8.17,22.5,2.7,21.3,10.4,15.3,52.32,11.4,78.4,10.2,58.9,27.5,4.6,0.3,7.2,1.5,5,10,503720,159,Pleasantville
06037106112,5969,Sylmar,-118.4124465,34.3054778,38.12,73,70-75%,0.057,11.21,7.15,683.27,0,525.79,1762.29,12.4,10.2,0.45,0,3.2,54.12,63.87,3.97,8.09,27.6,8.8,35.9,8.8,23.6,55.14,14,76.9,9.1,68.6,16.9,3.6,0.3,9.1,1.6,8,15,471441,195,Pleasantville
06037106113,3493,Sylmar,-118.4222365,34.3061792,29.72,59,55-60%,0.057,11.21,8.46,618.05,0,526.62,1739.35,4.25,0,0.3,0,1,45.76,64.44,5.35,8.17,28.4,6.3,29.6,5.3,10.8,50.84,14.4,74,11.6,76.4,15.7,2.1,0.5,4.6,0.6,6,12,277997,103,Urban Villages
