ID,Population,City,Longitude,Latitude,CIscore,CIscoreP,CES 3.0 Percentile Range,Ozone,PM2.5,Diesel PM,DrinkingWater,Pesticides,Tox Releases,Traffic,Cleanups,GroundwaterThreats,Haz Waste,Imp. Water Bodies,Solid Waste,PollutionScore,PollutionScore,Asthma,Low Birth Weight,Cardiovascular,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden,PopCharScore,Children < 10 (%),Pop 11-64 years (%),Elderly > 65 (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%),CIdecile,CIvigintile,2019 Smoking Products,Used prescription drug for asthma,2019 Dom Tapestry Segment Name
06037135202,4255,West Hills,-118.6369084,34.1888179,19.01,36,35-40%,0.055,10.37,16.45,618.05,0,363.14,675.85,0.25,3,0.02,2,0,37.51,4.62,35.92,5.98,6.94,4.3,1.9,14.1,10.4,17.5,4.11,10.9,73.4,15.7,15.5,67.1,2.8,0.2,10.9,3.5,4,8,759251,159,Pleasantville
06037135203,7055,West Hills,-118.6570809,34.1918593,10.16,14,10-15%,0.055,10.37,3.19,571.28,0,333.05,546.04,0,3,0,1,0,29.08,3.58,35.6,4.08,6.79,4.9,4.6,20.3,5.3,10.9,2.84,10.6,73,16.4,12,70.3,2,0.1,12,3.7,2,3,1118231,249,Pleasantville
06037137103,4199,Woodland Hills,-118.6013402,34.1744847,24.16,48,45-50%,0.057,10.37,23.15,618.05,115.109,409.93,1541.57,0,16.5,0.25,0,0,54.75,6.74,40.24,3.81,8.27,3.9,8.8,15.6,2.5,20.1,3.58,8.8,78.7,12.5,11.7,61.4,5.8,0.3,16,4.8,5,10,959059,167,Enterprising Professionals
06037137104,2717,Woodland Hills,-118.5849467,34.1737607,26.17,52,50-55%,0.057,10.37,30.48,618.05,37.215,427.58,2330.15,4.5,23.5,0.3,2,0,62.09,7.65,40.24,3.97,8.27,2.9,1.4,17.4,8.3,16.9,3.42,10,69.3,20.7,9.1,77.1,2.8,0.1,5.3,5.6,6,11,569405,98,Exurbanites
06037137201,5270,Woodland Hills,-118.6156256,34.1732437,27.13,54,50-55%,0.057,10.37,18.93,618.05,6.465,397.57,1719.1,0.1,14.5,0.01,2,0,49.67,6.12,34.51,5.57,7.11,5.9,7,22.5,6,24.2,4.44,11.2,74.9,13.9,13.7,64,5.3,0.2,12.4,4.4,6,11,867722,191,City Lights
06037137301,2264,Woodland Hills,-118.6340417,34.176253,15.62,27,25-30%,0.055,10.37,18.93,618.05,0.021,373.13,505.52,0.1,0.75,0.01,3,0,36.78,4.53,40.24,4.46,8.27,4.4,2.3,12,6.7,15.6,3.45,10.7,72.5,16.8,7.5,79,2.7,0.4,7.9,2.5,3,6,519772,80,Exurbanites
06037137302,4338,Woodland Hills,-118.6541956,34.177348,11.16,15,15-20%,0.055,10.37,3.49,614.62,0.094,368.37,727.73,0,0.75,0,0,0,31.15,3.84,33.41,5.2,6.91,2,3.2,11.2,6.6,8.7,2.91,9.5,66.2,24.3,7.7,78.5,1.8,0,7.8,4.1,2,4,883477,158,Exurbanites
06037137401,4157,Woodland Hills,-118.6102529,34.1590075,19.16,36,35-40%,0.055,10.37,14.61,614.41,0,408.84,1851.54,0,21,0,0,0,40.74,5.02,32.58,5.02,6.99,6.4,6.7,16.1,7.6,17,3.82,13.3,72.8,13.9,9.9,77.2,2.7,0.2,5.5,4.5,4,8,822725,139,Urban Chic
06037137402,5364,Woodland Hills,-118.6249487,34.1554628,24.45,49,45-50%,0.055,10.37,11.58,586.29,0,392.92,2060.38,0,16.5,0.1,8,0,46.96,5.78,32.01,4.73,7.01,5.1,6.7,27.5,12.5,16.8,4.23,10,67,23,7.7,76.4,4.7,0.1,6.2,5,5,10,1092017,191,Exurbanites
06037137502,4202,Woodland Hills,-118.5976916,34.1634518,19.07,36,35-40%,0.057,10.37,26.04,618.05,0,422.8,2276.01,0,37.5,0.32,0,0,50.87,6.27,35.69,3.1,7.57,1,6.7,16.2,5.9,19.9,3.04,11.6,70.2,18.2,9.9,75.2,4.2,0.2,5.7,4.8,4,8,836154,137,Urban Chic
06037138000,4484,Woodland Hills,-118.5910501,34.1488008,6.87,6,5-10%,0.055,10.37,6.81,614.49,0,463.84,440.07,0,1.5,0.06,1,0,31,3.82,28.89,1.61,6.38,2.8,1.9,15.7,6.4,12,1.8,11.2,72.5,16.3,7.8,80.4,2.4,0.2,5.8,3.5,1,2,1028209,147,Urban Chic
06037800101,5485,Calabasas,-118.6236584,34.1316542,3.23,1,1-5% (lowest scores),0.055,10.37,4.92,417.01,0.073,398.95,354.56,0,0,0,8,0,30.81,3.8,14.77,2.07,4.55,1.8,1.8,8.9,7.4,6.5,0.85,10.8,73.4,15.8,5.4,84.4,1,0.2,5.7,3.4,1,1,1352715,191,Top Tier
06037800102,7078,Topanga,-118.6226938,34.0891923,8.15,9,5-10%,0.053,10.37,1.69,419.86,0.888,460.57,497.02,4,0,0,11,0,36.54,4.5,10.37,3.45,4.01,2.4,1.5,17.1,14.2,11.8,1.81,11.3,76.9,11.8,6.4,85,1.4,0.4,3.7,3.2,1,2,1787713,240,Urban Chic
06037800202,6319,Calabasas,-118.6846964,34.115237,8.03,8,5-10%,0.053,10.37,6.29,225.79,0.024,354.5,438.98,0,5,0.01,12,3.75,36.39,4.48,16.64,4.08,5.62,2.7,2.8,19.5,2.9,13.6,1.79,14.8,75,10.2,5.6,81.6,1.6,0.1,8,3.1,1,2,1576179,201,Top Tier
06037800203,5643,Calabasas,-118.6726554,34.1607951,13.99,22,20-25%,0.055,9.96,5.19,423.4,0.131,335.62,3781.52,0,16.75,0.25,15,0.7,49.45,6.09,13.83,5.45,4.46,2.2,2.4,15.3,8.1,10.9,2.3,10.6,77.7,11.7,7.4,80.9,1.7,0.2,6.5,3.3,3,5,1427277,185,Urban Chic
