OBJECTID,Ozone Pctl,PM 2.5 Pctl,Diesel PM Pctl,DrinkingWater Pctl,Pesticides Pctl,Tox Releases Pctl,GroundWater Threats Pctl,Asthma,Asthma Pctl,Cardiovascular Pctl,Education Pctl,Poverty Pctl,Children < 10 (%),Elderly > 65 (%),Hispanic (%),White (%),Asian American (%),Other (%),Shape_Length,Shape_Area
294,82,66,82,70,0,56,53,47.74,53,43,65,54,14.1,8.1,55.2,31.6,6.4,2.1,5010.833398,1388423.629
295,82,66,86,70,0,55,25,51.82,59,41,70,82,14.2,6.5,59.7,24.6,7.7,1.7,3637.71581,838401.3233
296,78,66,55,70,0,57,41,98.74,93,95,81,82,15,12.6,65.2,21.2,7.8,2.1,3903.682002,939495.6381
297,78,66,55,70,0,56,41,98.74,93,95,68,73,13.2,7.5,50.9,28,11.5,2.4,3887.80326,942641.1712
298,78,66,55,70,0,56,61,66.68,76,71,80,86,12.3,15.8,60.4,27.7,6,1.5,4859.718389,903876.9321
299,78,66,66,70,0,58,64,44.66,49,45,80,89,12.9,6.6,60.8,23.5,7.9,1.8,4954.18693,995487.3033
300,78,66,55,70,0,59,0,98.74,93,95,81,85,14.7,8.3,67.1,20.2,5.3,2.4,3909.410448,958286.4271
301,78,66,55,70,0,60,32,76.58,83,84,74,63,14,8.6,54.6,33.8,6.2,2.6,3898.753989,947347.6181
302,78,66,60,70,0,60,0,49.54,56,73,69,60,14.2,7.6,47.5,42,4.9,2.4,3898.764414,948194.7532
303,78,66,60,70,0,60,0,69.43,78,88,87,79,14.7,5.3,68.1,18.2,6.1,1.6,3904.607077,954338.2903
304,78,66,77,70,0,60,27,57.53,66,96,98,95,16.9,3.9,79.1,11.1,3.8,1.4,3601.818638,808032.7989
305,78,66,77,70,0,60,22,57.53,66,96,59,70,12.5,8.2,44.5,44.9,4.5,1.8,3689.275196,813326.992
306,78,66,77,70,0,58,59,66.93,76,90,85,94,15,5.3,77.8,13,3.6,1.4,4567.933049,1001454.743
307,78,66,77,70,0,60,38,65.74,75,89,94,99,17.7,3.4,85.4,7.3,3.4,1,3578.136838,601111.4325
308,78,66,77,70,0,60,61,63.48,73,87,45,40,13,9.8,36.2,50.5,6.1,2.9,8300.878917,2543627.152
309,74,66,77,70,0,60,43,46.53,52,86,19,39,8.7,15.7,17.1,65.7,7.7,3.1,4883.482473,1425925.9
310,78,66,77,70,0,60,33,56.62,65,95,66,74,12.9,7.7,48.6,40.4,3.6,2.8,5108.093423,1000576.315
311,74,66,77,70,0,61,0,51.78,59,92,23,24,10.2,13.3,17.6,70.1,5.4,3.3,5361.551443,1660567.602
312,74,66,77,70,0,61,27,27.26,20,59,19,18,9.2,16.1,13.5,70.1,7,3.1,6277.235384,2430229.854
313,78,66,77,70,0,58,6,34.43,32,43,34,36,8.5,9.7,14.8,60.5,10.2,4.7,3493.600276,720279.069
314,74,66,77,70,0,60,56,41.52,44,54,14,34,12.1,13.6,18.4,62.8,8.9,3.5,4882.135196,1420136.239
315,74,66,77,70,0,60,36,34.51,33,85,26,24,11,10.6,14.2,65.3,8,5.4,6427.336874,1955783.336
316,85,53,37,70,0,50,32,75.99,83,83,70,78,14.6,7.2,55.7,21.2,15.4,3.3,5393.806986,1569360.704
317,85,53,37,70,0,51,36,75.99,83,83,79,54,14.1,7.1,62.9,21.3,11.1,2,6517.063741,2115125.146
318,85,53,87,70,0,53,25,61.43,71,62,60,42,12.3,11.9,42.7,42.8,8.1,2.2,5233.890995,1614136.915
319,85,53,41,70,0,53,0,45.48,50,60,50,37,11.7,12,36.3,43.7,12.1,4.1,5358.922647,1659561.292
320,85,53,37,70,0,52,6,63.65,73,68,78,68,12.2,10,62.4,20.9,12.6,1.9,5316.136762,1639257.021
321,85,53,37,70,0,51,33,75.99,83,83,57,63,12.9,9.9,46.9,28.4,15.9,2.6,5277.970595,1621135.588
322,85,53,40,70,0,49,0,69.19,78,76,70,48,12,9.2,54.5,28.9,11.9,2.1,7173.940492,3217620.78
323,85,53,43,70,0,49,22,75.99,83,83,60,76,12.5,9.8,38.1,30.8,21.1,3.3,3918.169023,958342.7351
324,85,53,37,70,0,49,2,75.99,83,83,76,59,12.4,9.3,53.1,27.2,12.8,1.5,4099.296395,1053444.815
325,85,53,37,70,0,52,38,72.11,80,78,81,61,14.1,9.2,56.7,23.7,14.6,2.1,5875.105419,1921364.841
326,85,53,70,70,0,53,25,74.19,82,78,57,38,11.7,9.6,48.6,36.8,9.1,2.3,5889.416098,1932085.901
327,85,53,51,70,0,53,0,65.74,75,66,49,47,13.3,12.2,33.3,52,7.7,3.3,4869.511828,1422655.998
328,85,53,81,70,52,53,0,67.11,76,69,65,53,12,11.5,39.6,47.5,7.7,2.4,7769.970735,2343907.896
329,82,53,85,70,79,54,0,74.19,82,78,61,45,14.2,7.9,50.4,31.5,8.6,2.7,4387.061132,1186498.802
330,82,53,87,70,0,54,36,74.19,82,78,61,54,12.7,10.7,46.6,35,10.8,2.8,6971.000574,2011715.329
331,85,53,37,70,0,52,32,70.7,79,77,75,77,12.9,10.8,54.8,25.7,11.8,4.4,5830.132059,1879844.521
332,85,53,37,70,0,49,2,75.99,83,83,77,66,11.1,19.2,47.8,36.2,10.9,1.9,4068.825794,1027547.532
333,85,53,49,70,0,50,2,75.99,83,83,70,65,11,13.7,40,43.5,9.4,3.4,4045.391568,913504.0978
334,85,53,46,70,0,52,9,63.92,73,67,82,87,14.2,9.1,60,29.1,6,2.1,5780.639145,1936329.092
335,85,53,61,70,0,52,0,52.99,60,51,37,48,10.6,14.8,22.1,62,8,4.4,6687.850158,1750545.872
336,85,53,45,70,68,49,22,75.99,83,83,72,52,12.9,10.8,55.9,27.3,11.5,2,5236.081322,1484159.196
337,85,53,61,70,0,51,14,73.53,81,81,68,59,10.7,20.3,33.1,50.5,8.8,3.8,6265.0359,2226184.047
338,82,53,44,70,0,49,22,53.58,61,68,78,66,13,11.4,41.1,26.4,25.9,2.9,5163.404962,1566933.234
339,82,53,44,70,0,48,22,63.65,73,85,60,48,13.2,7.4,42.9,19.8,28.4,2.9,3884.176002,941740.2387
340,82,53,44,70,9,48,46,57.95,66,77,73,48,12.8,8.4,45,27.8,17.5,3.4,4888.503294,1439246.06
341,82,53,44,70,61,48,36,54.87,63,72,67,48,11.5,11.1,46.7,33.5,12.9,2.9,6875.435438,2768160.89
342,85,53,83,70,80,49,9,49.2,55,46,43,44,11,15.2,25.3,58.6,7.6,4,5622.991795,1572258.233
343,82,53,86,70,0,50,86,36.05,35,46,16,32,9.5,13.6,13,67.6,8.8,5.3,8929.110005,3689550.38
344,78,53,34,70,0,51,9,19.89,8,8,16,3,9.3,22.1,4.3,83,4.8,4.8,12141.80346,5619873.28
345,82,53,69,70,0,54,32,37.84,38,29,24,24,13,13.3,17.9,66.1,6.7,4.6,6536.262436,1808799.418
346,85,53,61,70,0,53,32,33.75,31,19,14,31,11.9,12.9,17.6,65.6,7.5,4.7,5172.090847,1684336.859
347,82,53,79,70,76,50,85,47.37,53,58,31,43,11,17.3,9.5,76.1,6.9,3.7,9947.815451,4176893.046
348,82,53,61,70,0,52,0,53.51,61,67,23,72,10.4,10.5,27.1,49.4,9.5,4.5,2926.140483,496987.1956
349,85,53,61,70,0,52,0,53.51,61,67,35,72,10.8,12.8,26.8,53.8,7.3,5.4,3319.474875,608398.086
350,82,53,61,70,0,52,29,53.51,61,67,48,51,10.6,15.2,22,60,7.2,5.5,4687.238303,1329195.173
351,82,53,73,70,0,51,85,43.02,46,46,19,24,12.5,17.7,5.2,84.6,4.2,4.5,10543.97535,3589757.835
352,82,53,61,70,0,54,0,36.28,36,26,31,19,12.1,18.9,8.6,77.3,5.3,7.3,6273.023743,1535523.325
353,82,53,61,70,0,53,0,31.15,27,15,36,60,7.2,21.6,11.5,73.4,5.6,5.6,2996.169553,514195.7056
354,82,53,61,70,0,53,32,44.62,49,42,25,69,7.9,23,9.9,76.3,4.3,5.8,2998.58368,426797.6191
355,82,53,72,70,0,55,32,34.7,33,24,3,35,8.7,22.4,8.5,77.6,6.5,3.6,7657.449282,3626463.629
356,78,54,72,70,0,57,0,26.09,18,30,29,3,12.2,21.4,6.5,83.2,5.9,2.6,12158.64714,4970409.635
357,74,54,30,71,0,57,22,17.01,5,6,7,11,12.2,23.3,4.4,85.8,4.5,4,24177.15817,13751615.49
358,78,53,13,66,0,54,0,28.69,23,13,9,16,10.8,18,4.4,84.2,5.1,4.7,15251.75216,6918580.61
359,82,53,26,70,0,53,2,53.51,61,67,18,1,10.4,24,3.6,87.6,4.2,3.4,10222.61334,5367147.348
360,78,53,16,66,0,53,23,32.56,29,24,28,4,10.7,21.6,4.6,83.4,6,3.8,17281.41665,8887686.27
361,74,69,58,70,0,61,74,27.83,21,64,6,36,8.3,10,12.1,71.1,7.6,4.2,4332.763536,1115464.728
362,74,69,42,70,0,61,72,29.15,24,70,9,27,10.3,11.2,11.3,74.4,5.9,3.3,5656.509717,1142791.315
363,74,66,65,70,0,61,57,27.31,20,63,14,49,10.6,8.4,16,67.4,6.5,3.4,4469.630478,1026101.842
364,74,66,28,70,0,61,57,28.26,22,66,18,26,10.9,12.4,9,77.9,5.2,4,4655.440617,1027491.505
365,74,66,59,70,0,60,22,38.56,40,92,12,26,8.4,11.2,11.7,70.5,8.4,3.7,6319.195391,1859459.274
366,74,66,77,70,0,61,0,38.56,40,92,2,32,8.2,13.2,13.3,70,7.7,3.4,2624.825522,384673.8237
367,74,66,47,70,0,61,22,27.08,20,63,3,37,10.2,15.6,8.6,76.7,6.5,3.9,5226.921951,1048295.507
368,78,66,75,70,0,58,0,22.39,11,28,7,36,11.1,20.1,9.3,78.4,5.8,3,7180.922488,2933014.279
369,74,66,42,70,0,59,4,18.93,7,20,5,2,10.9,23.6,5.4,84.5,5.5,3.3,11635.90079,4883849.326
370,74,66,30,70,0,61,0,16.89,5,21,5,6,12,18.3,5.4,83.9,5.7,2.7,13792.56957,5628487.593
371,69,69,28,70,0,61,16,17.4,5,20,6,1,12,16.8,5,83.2,5.8,3.6,11818.12266,4744504.349
372,74,82,67,80,0,65,77,33.48,31,26,14,9,7.8,13.4,12.3,75,5.7,2.6,6937.122509,2605010.263
373,74,82,68,70,0,64,50,34.68,33,29,20,38,8.1,6.9,18.8,61,8.1,3.9,5188.828298,1401608.681
374,74,82,74,70,0,63,0,27.72,21,26,15,27,10.1,11.3,15.8,70.1,6.1,3.5,7340.777666,2424704.73
375,74,82,80,70,0,62,36,25,16,41,9,16,9.9,13.1,10.1,77.1,5.2,3.7,7735.54842,2573540.362
376,69,82,26,70,0,62,36,23.72,14,40,23,18,10.7,11.9,8.1,79.1,6,3.1,6998.164403,1814085.195
377,69,82,28,70,0,63,0,22.18,11,27,21,21,8.7,16.9,8.2,77.3,7.1,3.1,6174.17883,1781616.824
378,74,82,64,70,0,64,64,24.13,14,11,9,29,6.5,7.3,12.5,71.7,7.1,3.6,4980.254412,769271.4747
